timestamps,TP9,Fp1,Fp2,TP10,Marker
1685051969.9866016,-846.19140625,924.8046875,124.0234375,-1000.0,0
1685051969.990393,485.3515625,734.86328125,-61.03515625,-511.71875,0
1685051969.9941573,-894.53125,-627.44140625,-262.20703125,904.78515625,0
1685051969.9979217,-1000.0,-1000.0,-356.4453125,903.80859375,0
1685051970.001686,-233.88671875,-630.37109375,-312.01171875,-465.33203125,0
1685051970.0054507,-886.23046875,741.2109375,-138.18359375,-1000.0,0
1685051970.009215,667.48046875,902.34375,-44.43359375,-591.796875,0
1685051970.0129795,-716.30859375,-452.1484375,-148.92578125,774.4140625,0
1685051970.016744,-1000.0,-1000.0,-327.1484375,-920.41015625,0
1685051970.0205083,-244.140625,-780.2734375,-349.609375,-190.91796875,0
1685051970.024273,-968.75,501.953125,-80.078125,-1000.0,0
1685051970.0280373,903.80859375,-945.3125,220.703125,-711.42578125,0
1685051970.0318017,-381.34765625,-234.375,-56.640625,583.0078125,0
1685051970.035566,-1000.0,-1000.0,-412.109375,-830.078125,0
1685051970.0406342,-408.69140625,-919.43359375,-300.29296875,21.97265625,0
1685051970.045702,910.15625,250.0,-103.02734375,-1000.0,0
1685051970.05077,-935.546875,-853.515625,-78.125,-1000.0,0
1685051970.055838,-129.8828125,-62.5,-227.5390625,153.80859375,0
1685051970.060906,-1000.0,-1000.0,-372.55859375,-776.85546875,0
1685051970.065974,-565.4296875,-1000.0,-285.64453125,124.0234375,0
1685051970.071042,786.1328125,58.59375,-85.9375,-1000.0,0
1685051970.07611,-865.234375,-816.40625,-54.19921875,-1000.0,0
1685051970.081178,36.1328125,54.6875,-26.85546875,-7.32421875,0
1685051970.086246,-1000.0,-1000.0,-170.41015625,-782.2265625,0
1685051970.0913138,-795.41015625,-1000.0,-365.72265625,144.53125,0
1685051970.096382,531.73828125,-88.8671875,-146.484375,-1000.0,0
1685051970.098834,-804.19921875,-808.59375,63.4765625,-1000.0,0
1685051970.1012862,153.80859375,168.9453125,-95.703125,-193.359375,0
1685051970.1037383,-1000.0,-1000.0,-372.0703125,-813.96484375,0
1685051970.1061902,-1000.0,-1000.0,-369.62890625,227.05078125,0
1685051970.1086423,221.6796875,-199.70703125,-163.0859375,-1000.0,0
1685051970.1110945,-770.5078125,-824.70703125,23.4375,-1000.0,0
1685051970.1135466,140.13671875,283.203125,-55.6640625,-239.2578125,0
1685051970.1159987,-1000.0,-977.05078125,-267.08984375,-828.61328125,0
1685051970.1184506,-1000.0,-1000.0,-278.3203125,340.33203125,0
1685051970.1209028,17.08984375,-283.203125,-213.8671875,-963.8671875,0
1685051970.123355,-774.90234375,-870.1171875,-104.00390625,-1000.0,0
1685051970.125807,183.59375,418.45703125,-4.39453125,-267.578125,0
1685051970.1296515,-1000.0,-889.16015625,-102.05078125,-862.3046875,0
1685051970.1334958,-1000.0,-1000.0,-314.94140625,527.83203125,0
1685051970.1373403,-165.0390625,-376.46484375,-244.62890625,-838.8671875,0
1685051970.1411848,-811.03515625,-957.51953125,10.7421875,-1000.0,0
1685051970.145029,392.08984375,626.46484375,24.90234375,-386.71875,0
1685051970.1488736,-932.12890625,-709.47265625,-216.30859375,-973.6328125,0
1685051970.152718,-1000.0,-1000.0,-333.49609375,758.7890625,0
1685051970.1565623,-245.1171875,-500.48828125,-135.25390625,-622.55859375,0
1685051970.1604068,-869.140625,892.578125,74.70703125,-1000.0,0
1685051970.1642513,601.07421875,822.265625,-67.3828125,-576.66015625,0
1685051970.1680956,-794.43359375,-512.6953125,-242.67578125,833.0078125,0
1685051970.17194,-1000.0,-1000.0,-336.42578125,960.9375,0
1685051970.1755888,-213.37890625,-617.67578125,-297.8515625,-413.0859375,0
